Titles,Runtime,User Rating,Metascore,Genre,Gross,Votes
"Crouching Tiger, Hidden Dragon",120 min,7.9,94,Action,$128.01M,"1,332,044"
Shutter Island,138 min,8.2,63,Mystery,$128.00M,"143,230"
Into the Woods,125 min,5.9,69,Adventure,$127.81M,"208,274"
Enchanted,107 min,7.1,75,Animation,$127.51M,"658,699"
The Curious Case of Benjamin Button,166 min,7.8,70,Drama,$127.44M,"195,949"
Central Intelligence,107 min,6.3,52,Action,$127.35M,"184,856"
Anchorman 2: The Legend Continues,119 min,6.3,61,Comedy,$127.22M,"116,283"
Sweet Home Alabama,108 min,6.2,45,Comedy,$127.20M,"169,904"
Bumblebee,114 min,6.7,66,Action,$127.15M,"278,286"
2 Fast 2 Furious,107 min,5.9,38,Action,$127.00M,"357,086"
Super 8,112 min,7,72,Action,$126.66M,"503,993"
Lucy,89 min,6.4,61,Action,$126.64M,"179,526"
The Legend of Tarzan,110 min,6.2,44,Action,$126.63M,"166,639"
The Wolf of Wall Street,180 min,8.2,75,Biography,$126.48M,"615,696"
Prometheus,124 min,7,64,Adventure,$126.37M,"225,943"
Safe House,115 min,6.7,52,Action,$126.29M,"146,711"
Mr. Deeds,96 min,5.8,24,Comedy,$125.60M,"202,460"
Erin Brockovich,131 min,7.4,73,Biography,$125.54M,"395,995"
Ocean's Twelve,125 min,6.5,58,Crime,$125.32M,"366,024"
Terminator Salvation,115 min,6.5,49,Action,$125.31M,"189,522"
Charlie's Angels,98 min,5.6,52,Action,$125.10M,"292,036"
Lone Survivor,121 min,7.5,60,Action,$125.07M,"277,587"
Sully,96 min,7.4,74,Biography,$125.01M,"197,152"
The Vow,104 min,6.8,43,Drama,$124.99M,"637,780"
Life of Pi,127 min,7.9,79,Adventure,$124.87M,"382,184"
The Fault in Our Stars,126 min,7.7,69,Drama,$124.87M,"238,591"
Cloudy with a Chance of Meatballs,90 min,6.9,66,Animation,$124.74M,"427,625"
The Devil Wears Prada,109 min,6.9,62,Comedy,$124.73M,"123,871"
Something's Gotta Give,128 min,6.7,66,Comedy,$124.12M,"210,001"
Traffic,147 min,7.6,86,Crime,$123.48M,"271,688"
Rango,107 min,7.2,75,Animation,$123.31M,"51,764"
Nutty Professor II: The Klumps,106 min,4.4,38,Comedy,$123.09M,"118,488"
The Good Dinosaur,93 min,6.7,66,Animation,$122.52M,"183,180"
G.I. Joe: Retaliation,110 min,5.7,41,Action,$121.66M,"552,383"
The Bourne Identity,119 min,7.9,68,Action,$121.46M,"589,567"
Superbad,113 min,7.6,76,Comedy,$120.91M,"361,282"
50 First Dates,99 min,6.8,48,Comedy,$120.63M,"98,239"
Mamma Mia! Here We Go Again,114 min,6.6,60,Comedy,$120.54M,"1,464,766"
Inglourious Basterds,153 min,8.3,69,Adventure,$120.50M,"7,574"
Janatha Garage,162 min,7.2, ,Action,$120.28M,"74,360"
Seabiscuit,140 min,7.3,72,Drama,$120.18M,"271,034"
Van Helsing,131 min,6,35,Action,$120.15M,"75,616"
Four Christmases,88 min,5.7,41,Comedy,$120.06M,"149,364"
I Now Pronounce You Chuck & Larry,115 min,5.9,37,Comedy,$119.79M,"106,182"
Cloudy with a Chance of Meatballs 2,95 min,6.3,59,Animation,$119.52M,"254,486"
Walk the Line,136 min,7.8,72,Biography,$119.44M,"47,618"
G-Force,88 min,5.1,41,Animation,$119.22M,"273,744"
The Other Guys,107 min,6.6,64,Action,$119.19M,"130,369"
Fahrenheit 9/11,122 min,7.5,67,Documentary,$118.91M,"119,056"
The Sum of All Fears,124 min,6.4,45,Action,$118.87M,"132,874"
Hairspray,117 min,6.7,81,Comedy,$118.70M,"134,484"
The Break-Up,106 min,5.8,45,Comedy,$118.63M,"212,368"
A Series of Unfortunate Events,108 min,6.8,62,Adventure,$118.59M,"171,446"
Blades of Glory,93 min,6.3,64,Comedy,$118.31M,"318,607"
Salt,100 min,6.4,65,Action,$117.72M,"668,651"
Now You See Me,115 min,7.2,50,Crime,$117.62M,"403,581"
Ford v Ferrari,152 min,8.1,81,Action,$117.56M,"87,217"
Big Momma's House,99 min,5.2,33,Action,$117.54M,"453,806"
Horrible Bosses,98 min,6.9,57,Comedy,$117.45M,"144,652"
The Nun,96 min,5.3,46,Horror,$117.22M,"66,504"
Jackass 3D,94 min,7,56,Documentary,$117.15M,"352,050"
Ocean's Thirteen,122 min,6.9,62,Crime,$116.93M,"149,613"
S.W.A.T.,117 min,6,45,Action,$116.90M,"1,430,304"
Baby Driver,113 min,7.6,86,Action,$116.72M,"296,209"
8 Mile,110 min,7.2,77,Drama,$116.63M,"116,678"
The Butler,132 min,7.2,65,Biography,$116.60M,"287,998"
Green Lantern,114 min,5.5,39,Action,$115.80M,"242,577"
Ghost Rider,110 min,5.2,35,Action,$115.72M,"129,334"
Creed II,130 min,7.1,66,Action,$115.65M,"219,181"
Remember the Titans,113 min,7.8,48,Biography,$115.65M,"688,251"
District 9,112 min,7.9,81,Action,$115.64M,"171,375"
Unbroken,137 min,7.2,59,Action,$115.25M,"44,297"
Peter Rabbit,95 min,6.6,51,Adventure,$115.17M,"38,501"
Girls Trip,122 min,6.2,71,Adventure,$114.77M,"77,866"
Dumbo,112 min,6.3,51,Adventure,$114.38M,"104,837"
Fifty Shades Darker,118 min,4.6,33,Drama,$114.33M,"254,485"
Dodgeball: A True Underdog Story,92 min,6.7,55,Comedy,$114.20M,"265,564"
The Village,108 min,6.6,44,Drama,$114.05M,"215,419"
Bolt,96 min,6.8,67,Animation,$113.93M,"108,228"
Maleficent: Mistress of Evil,119 min,6.6,43,Adventure,$113.75M,"126,066"
Night at the Museum: Secret of the Tomb,98 min,6.2,47,Adventure,$113.72M,"140,959"
Magic Mike,110 min,6.1,72,Comedy,$113.33M,"279,434"
The Patriot,165 min,7.2,63,Action,$113.26M,"128,295"
Bad Moms,100 min,6.2,60,Comedy,$113.20M,"305,473"
The Bourne Legacy,135 min,6.6,61,Action,$113.09M,"96,365"
The Pacifier,95 min,5.6,30,Action,$112.95M,"45,909"
Dr. Dolittle 2,87 min,4.7,49,Comedy,$112.74M,"94,398"
It's Complicated,120 min,6.5,57,Comedy,$112.72M,"120,047"
Spy Kids,88 min,5.6,71,Action,$112.20M,"319,230"
The Hangover Part III,100 min,5.8,30,Comedy,$111.76M,"62,036"
Spy Kids 3: Game Over,84 min,4.3,57,Action,$111.51M,"72,444"
Mr. Peabody & Sherman,92 min,6.8,59,Animation,$111.11M,"446,693"
The Last Samurai,154 min,7.8,55,Action,$111.05M,"248,590"
Glass,129 min,6.6,43,Drama,$110.83M,"248,011"
Spy,120 min,7,75,Action,$110.52M,"422,786"
Tropic Thunder,107 min,7.1,71,Action,$110.50M,"186,681"
Godzilla: King of the Monsters,132 min,6,48,Action,$110.49M,"121,564"
Valentine's Day,125 min,5.7,34,Comedy,$110.36M,"146,706"
The Grudge,91 min,5.9,49,Horror,$110.33M,"147,913"
Fun with Dick and Jane,90 min,6.2,47,Comedy,$110.23M,"142,223"
Freaky Friday,97 min,6.3,70,Comedy,$110.21M,"138,568"
Trainwreck,125 min,6.2,75,Comedy,$110.10M,"97,044"
Bedtime Stories,99 min,6,33,Adventure,$110.00M,"150,281"
Scary Movie 3,84 min,5.5,49,Comedy,$109.77M,"279,227"
Creed,133 min,7.6,82,Action,$109.45M,"444,330"
The 40-Year-Old Virgin,116 min,7.1,73,Comedy,$109.21M,"110,407"
Couples Retreat,113 min,5.5,23,Comedy,$108.64M,"401,703"
Black Hawk Down,144 min,7.7,74,Action,$108.25M,"57,879"
The Upside,126 min,7,46,Comedy,$108.25M,"150,555"
The Princess Diaries,115 min,6.4,52,Comedy,$108.10M,"211,905"
Little Women,135 min,7.8,91,Drama,$108.09M,"35,089"
Hop,95 min,5.4,41,Animation,$107.92M,"244,099"
Paranormal Activity,86 min,6.3,68,Horror,$107.83M,"551,248"
Vanilla Sky,136 min,6.9,45,Fantasy,$107.52M,"106,726"
Epic,102 min,6.6,52,Animation,$107.51M,"557,334"
Watchmen,162 min,7.6,56,Action,$107.51M,"95,481"
The Angry Birds Movie,97 min,6.3,43,Animation,$107.10M,"467,027"
Captain Phillips,134 min,7.8,82,Action,$106.95M,"776,521"
Black Swan,108 min,8,79,Drama,$106.83M,"195,988"
Chicken Run,84 min,7.1,88,Animation,$106.81M,"215,129"
Miss Congeniality,109 min,6.3,43,Action,$106.58M,"304,995"
300: Rise of an Empire,102 min,6.2,48,Action,$106.13M,"373,391"
The Italian Job,111 min,7,68,Action,$105.81M,"246,232"
How to Lose a Guy in 10 Days,116 min,6.4,45,Comedy,$105.81M,"68,988"
The Lego Movie 2: The Second Part,107 min,6.6,65,Animation,$105.27M,"272,833"
Robin Hood,140 min,6.6,53,Action,$104.96M,"102,392"
Hustlers,110 min,6.3,79,Comedy,$104.90M,"66,170"
Pitch Perfect 3,93 min,5.8,40,Comedy,$104.57M,"209,344"
American Wedding,96 min,6.3,43,Comedy,$104.45M,"272,531"
Road to Perdition,117 min,7.7,72,Crime,$104.40M,"149,866"
The Princess and the Frog,97 min,7.1,73,Animation,$104.39M,"157,521"
The Chronicles of Narnia: The Voyage of the Dawn Treader,113 min,6.3,53,Adventure,$104.30M,"70,515"
Daddy Day Care,92 min,5.6,39,Comedy,$104.03M,"76,603"
Daddy's Home 2,100 min,6,30,Comedy,$104.01M,"96,527"
Paranormal Activity 3,83 min,5.8,59,Horror,$103.86M,"106,525"
Journey 2: The Mysterious Island,94 min,5.7,41,Action,$103.80M,"140,566"
The Mule,116 min,7,58,Crime,$103.41M,"180,088"
Rise of the Guardians,97 min,7.2,58,Animation,$103.37M,"74,810"
Dreamgirls,130 min,6.6,76,Drama,$103.14M,"181,948"
Independence Day: Resurgence,120 min,5.2,32,Action,$103.07M,"349,604"
The Expendables,103 min,6.4,45,Action,$103.03M,"249,175"
Just Go with It,117 min,6.4,33,Comedy,$102.83M,"264,095"
Murder on the Orient Express,114 min,6.5,52,Crime,$102.61M,"366,748"
The Aviator,170 min,7.5,77,Biography,$102.54M,"222,456"
Daredevil,103 min,5.3,42,Action,$102.52M,"469,099"
The Girl with the Dragon Tattoo,158 min,7.8,71,Crime,$102.49M,"163,829"
The Mummy: Tomb of the Dragon Emperor,112 min,5.2,31,Action,$102.47M,"276,393"
The Conjuring 2,134 min,7.3,65,Horror,$102.43M,"475,438"
The Maze Runner,113 min,6.8,57,Action,$102.09M,"138,161"
Annabelle: Creation,109 min,6.5,62,Horror,$102.08M,"164,409"
The Equalizer 2,121 min,6.7,50,Action,$102.00M,"96,177"
Jackass Presents: Bad Grandpa,92 min,6.5,54,Comedy,$101.80M,"507,790"
Pacific Rim,131 min,6.9,65,Action,$101.70M,"125,174"
Journey to the Center of the Earth,93 min,5.8,57,Action,$101.65M,"282,635"
Gone in 60 Seconds,118 min,6.5,35,Action,$101.53M,"377,780"
The Equalizer,132 min,7.2,57,Action,$101.47M,"417,801"
This Is the End,107 min,6.6,67,Comedy,$101.20M,"257,689"
Noah,138 min,5.8,68,Action,$101.15M,"84,290"
The Cat in the Hat,82 min,4,19,Adventure,$101.11M,"189,311"
Eagle Eye,118 min,6.6,43,Action,$101.03M,"171,994"
Rampage,107 min,6.1,45,Action,$101.01M,"410,738"
Collateral,120 min,7.5,71,Action,$100.83M,"129,401"
Charlie's Angels: Full Throttle,106 min,4.9,48,Action,$100.61M,"272,216"
The Magnificent Seven,132 min,6.8,54,Action,$100.55M,"705,512"
Arrival,116 min,7.9,81,Drama,$100.54M,"347,519"
Due Date,95 min,6.5,51,Comedy,$100.49M,"692,634"
Million Dollar Baby,132 min,8.1,86,Drama,$100.48M,"45,796"
A Wrinkle in Time,109 min,4.2,53,Adventure,$100.47M,"300,823"
Step Brothers,98 min,6.9,51,Comedy,$100.46M,"149,807"
Evan Almighty,96 min,5.4,37,Comedy,$100.41M,"67,781"
Fifty Shades Freed,105 min,4.5,31,Drama,$100.29M,"205,724"
Bad Teacher,92 min,5.6,47,Comedy,$100.25M,"22,469"
Yogi Bear,80 min,4.6,35,Animation,$100.24M,"224,036"
Cowboys & Aliens,119 min,6,50,Action,$100.23M,"334,913"
Kingsman: The Golden Circle,141 min,6.7,44,Action,$100.21M,"687,620"
Edge of Tomorrow,113 min,7.9,71,Action,$100.04M,"41,801"
The Addams Family,86 min,5.8,46,Animation,$100.02M,"205,263"
You Don't Mess with the Zohan,113 min,5.6,54,Action,$100.01M,"413,417"
Passengers,116 min,7,41,Drama,$99.97M,"56,962"
Gnomeo & Juliet,84 min,5.9,53,Animation,$99.22M,"79,642"
Christopher Robin,104 min,7.2,60,Adventure,$98.93M,"280,426"
Olympus Has Fallen,119 min,6.5,41,Action,$98.78M,"161,808"
The Green Hornet,119 min,5.8,39,Action,$98.71M,"165,178"
Date Night,88 min,6.3,56,Comedy,$97.82M,"103,143"
Meet the Robinsons,95 min,6.8,61,Animation,$97.69M,"367,522"
Yes Man,104 min,6.8,46,Comedy,$97.69M,"198,276"
Sausage Party,89 min,6.1,66,Animation,$97.10M,"307,119"
Public Enemies,140 min,7,70,Action,$96.96M,"712,074"
The Social Network,120 min,7.8,95,Biography,$96.85M,"58,173"
Downton Abbey,122 min,7.4,64,Drama,$96.52M,"372,136"
The Others,104 min,7.6,74,Horror,$96.52M,"224,177"
Legally Blonde,96 min,6.4,59,Comedy,$96.40M,"283,594"
Panic Room,112 min,6.8,65,Crime,$96.37M,"178,726"
Rocketman,121 min,7.3,69,Biography,$95.72M,"305,782"
Zero Dark Thirty,157 min,7.4,95,Drama,$95.67M,"75,845"
Norbit,102 min,4.1,27,Comedy,$95.64M,"150,846"
Cold Mountain,154 min,7.2,73,Adventure,$95.35M,"81,053"
Sex and the City 2,146 min,4.5,27,Comedy,$95.17M,"83,480"
The Princess Diaries 2: Royal Engagement,113 min,5.8,43,Comedy,$95.01M,"422,946"
Unbreakable,106 min,7.3,62,Drama,$95.00M,"97,205"
42,128 min,7.5,62,Biography,$94.84M,"322,856"
The Book of Eli,118 min,6.8,53,Action,$94.78M,"132,644"
"10,000 BC",109 min,5.1,34,Action,$94.51M,"24,863"
Beverly Hills Chihuahua,91 min,3.9,41,Adventure,$94.13M,"122,164"
Julie & Julia,123 min,7,66,Biography,$94.01M,"91,815"
Maid in Manhattan,105 min,5.3,45,Comedy,$93.95M,"176,055"
He's Just Not That Into You,129 min,6.4,47,Comedy,$93.93M,"225,273"
Master and Commander: The Far Side of the World,138 min,7.4,81,Action,$93.77M,"359,055"
Flight,138 min,7.3,76,Drama,$93.62M,"372,861"
The Fighter,116 min,7.8,79,Action,$93.61M,"58,659"
America's Sweethearts,102 min,5.7,44,Comedy,$93.47M,"249,142"
The Bucket List,97 min,7.4,42,Adventure,$93.44M,"184,712"
Tomorrowland,130 min,6.4,60,Action,$93.43M,"215,220"
The Emoji Movie,86 min,3.4,12,Animation,$93.39M,"60,539"
Cats & Dogs,87 min,5.1,47,Action,$93.37M,"1,716"
Space Station 3D,47 min,7.4,69,Documentary,$93.35M,"120,640"
Two Weeks Notice,101 min,6.1,42,Comedy,$93.15M,"277,734"
Red Dragon,124 min,7.2,60,Crime,$93.05M,"453,133"
Elysium,109 min,6.6,61,Action,$92.19M,"396,393"
The Town,125 min,7.5,74,Crime,$92.17M,"267,673"
Non-Stop,106 min,6.9,56,Action,$92.05M,"586,200"
Blade Runner 2049,164 min,8,81,Action,$92.03M,"441,066"
John Wick: Chapter 2,122 min,7.4,75,Action,$91.55M,"48,401"
Think Like a Man,122 min,6.5,51,Comedy,$91.44M,"27,570"
Heaven Is for Real,99 min,5.8,47,Biography,$91.22M,"60,153"
Ride Along 2,102 min,5.9,32,Action,$91.13M,"778,508"
The Imitation Game,114 min,8,71,Biography,$91.06M,"63,520"
Save the Last Dance,112 min,6.2,53,Drama,$91.05M,"140,678"
The Scorpion King,92 min,5.5,45,Action,$90.76M,"293,287"
Prince of Persia: The Sands of Time,116 min,6.6,50,Action,$90.71M,"123,638"
Scary Movie 4,83 min,5.1,40,Comedy,$90.65M,"80,374"
The Game Plan,110 min,6.2,44,Comedy,$90.57M,"241,163"
"Me, Myself & Irene",116 min,6.6,49,Comedy,$90.56M,"64,153"
High School Musical 3: Senior Year,112 min,4.9,57,Comedy,$90.49M,"12,438"
Madea Goes to Jail,103 min,4.5,50,Comedy,$90.46M,"82,836"
Space Cowboys,130 min,6.5,73,Action,$90.41M,"139,687"
Get Hard,100 min,6,34,Comedy,$90.38M,"312,620"
RED,111 min,7,60,Action,$90.29M,"46,267"
Planes,91 min,5.7,39,Animation,$90.19M,"68,892"
"Legally Blonde 2: Red, White & Blonde",95 min,4.7,47,Comedy,$90.14M,"462,106"
Mystic River,138 min,7.9,84,Crime,$89.76M,"281,545"
Terminator Genisys,126 min,6.3,38,Action,$89.71M,"165,003"
Flightplan,98 min,6.3,53,Drama,$89.30M,"208,714"
The Emperor's New Groove,78 min,7.4,70,Animation,$89.30M,"237,266"
The Lone Ranger,150 min,6.4,37,Action,$89.26M,"195,680"
Taken 3,108 min,6,26,Action,$89.22M,"280,484"
Don't Breathe,88 min,7.1,71,Crime,$89.14M,"147,166"
Scream 3,116 min,5.6,56,Horror,$89.02M,"532,234"
Oblivion,124 min,7,54,Action,$88.92M,"222,243"
The Ugly Truth,96 min,6.4,28,Comedy,$88.76M,"191,915"
Percy Jackson & the Olympians: The Lightning Thief,118 min,5.8,47,Adventure,$88.72M,"82,253"
Failure to Launch,97 min,5.6,47,Comedy,$88.63M,"93,827"
The Muppets,103 min,7.1,75,Adventure,$88.51M,"378,127"
Inside Man,129 min,7.6,76,Crime,$88.24M,"149,700"
Starsky & Hutch,101 min,6.1,55,Comedy,$88.10M,"138,630"
Along Came Polly,90 min,6,44,Comedy,$87.34M,"344,361"
Pineapple Express,111 min,6.9,64,Action,$87.24M,"177,316"
Miss Peregrine's Home for Peculiar Children,127 min,6.7,57,Adventure,$87.04M,"67,583"
Sisters,118 min,6,58,Comedy,$87.04M,"256,951"
Saw II,93 min,6.6,40,Horror,$86.91M,"133,124"
The Campaign,85 min,6.1,50,Comedy,$86.26M,"300,442"
The Accountant,128 min,7.3,51,Action,$86.21M,"139,596"
Dumb and Dumber To,109 min,5.6,36,Comedy,$86.09M,"66,003"
The Post,116 min,7.2,83,Biography,$86.06M,"392,027"
Mean Girls,97 min,7.1,66,Comedy,$85.91M,"38,747"
Annie,118 min,5.3,33,Comedy,$85.89M,"20,540"
Alvin and the Chipmunks: The Road Chip,92 min,4.9,33,Animation,$85.85M,"69,326"
Spy Kids 2: Island of Lost Dreams,100 min,5.2,66,Action,$85.82M,"500,868"
Fury,134 min,7.5,64,Action,$85.71M,"273,740"
Alita: Battle Angel,122 min,7.3,53,Action,$85.47M,"335,192"
Real Steel,127 min,7,56,Action,$85.42M,"93,929"
The SpongeBob SquarePants Movie,87 min,7.1,66,Animation,$85.36M,"109,796"
Power Rangers,124 min,5.9,44,Action,$85.34M,"114,116"
Brother Bear,85 min,6.8,48,Animation,$85.29M,"362,477"
Anchorman: The Legend of Ron Burgundy,94 min,7.1,63,Comedy,$85.11M,"99,040"
Open Season,86 min,6.1,49,Animation,$85.08M,"502,346"
Green Book,130 min,8.2,69,Biography,$85.02M,"310,554"
The Expendables 2,103 min,6.6,51,Action,$84.75M,"106,006"
Paranormal Activity 2,91 min,5.7,53,Horror,$84.53M,"52,687"
Tammy,97 min,4.9,39,Comedy,$84.50M,"40,095"
The Santa Clause 3: The Escape Clause,92 min,4.8,32,Adventure,$84.41M,"58,990"
Ferdinand,108 min,6.7,58,Animation,$84.40M,520
Dolphins,39 min,7.2, ,Documentary,$84.35M,"527,253"
"Crazy, Stupid, Love.",118 min,7.4,68,Comedy,$84.27M,"162,890"
Annabelle,99 min,5.4,37,Horror,$84.22M,"59,892"
Scooby-Doo 2: Monsters Unleashed,93 min,5.2,34,Adventure,$84.16M,"243,816"
Birds of Prey,109 min,6,60,Action,$84.05M,"123,499"
Atlantis: The Lost Empire,95 min,6.9,52,Animation,$83.91M,"143,498"
The Other Woman,109 min,6,39,Comedy,$83.82M,"339,540"
Up in the Air,109 min,7.4,83,Comedy,$83.67M,"191,135"
Wrath of the Titans,99 min,5.7,37,Action,$83.59M,"174,246"
Insidious: Chapter 2,106 min,6.5,40,Horror,$83.55M,"181,758"
Battle Los Angeles,116 min,5.7,37,Action,$83.50M,"170,750"
Immortals,110 min,6,46,Action,$83.48M,"16,710"
I Can Only Imagine,110 min,7.3,30,Biography,$83.35M,"93,899"
Penguins of Madagascar,92 min,6.6,53,Animation,$83.30M,"164,357"
Saving Mr. Banks,125 min,7.5,65,Biography,$83.24M,"40,664"
Smallfoot,96 min,6.6,60,Animation,$83.08M,"248,131"
Valkyrie,121 min,7.1,56,Drama,$83.04M,"362,841"
Brokeback Mountain,134 min,7.7,87,Drama,$83.03M,"100,709"
Turbo,96 min,6.4,58,Animation,$82.99M,"43,684"
Charlotte's Web,97 min,6.3,68,Adventure,$82.93M,"62,983"
Monster-in-Law,101 min,5.5,31,Comedy,$82.67M,"33,007"
Are We There Yet?,95 min,4.7,27,Adventure,$82.62M,"121,673"
Freddy vs. Jason,97 min,5.7,37,Action,$82.58M,"244,086"
The Descendants,115 min,7.3,84,Comedy,$82.57M,"60,162"
Cheaper by the Dozen 2,94 min,5.5,34,Adventure,$82.39M,"136,040"
Let's Be Cops,104 min,6.4,30,Action,$82.35M,"222,705"
Blade II,117 min,6.7,52,Action,$82.27M,"161,115"
Bridge to Terabithia,96 min,7.2,74,Drama,$82.23M,"88,477"
The Pink Panther,93 min,5.6,38,Adventure,$82.16M,"169,876"
Beowulf,115 min,6.3,59,Animation,$82.05M,"94,925"
Teenage Mutant Ninja Turtles: Out of the Shadows,112 min,5.9,40,Action,$81.90M,"154,084"
27 Dresses,111 min,6.1,47,Comedy,$81.70M,"256,127"
Maze Runner: The Scorch Trials,131 min,6.3,43,Action,$81.61M,"65,937"
Eight Below,120 min,7.3,64,Adventure,$81.56M,"200,103"
Unstoppable,98 min,6.8,69,Action,$81.48M,"214,961"
Ted 2,115 min,6.3,48,Comedy,$81.26M,"311,649"
School of Rock,109 min,7.2,82,Comedy,$81.17M,"27,556"
Snow Dogs,99 min,5.2,29,Adventure,$81.16M,"255,854"
21,123 min,6.8,48,Crime,$81.00M,"580,163"
The Notebook,123 min,7.8,53,Drama,$80.94M,"35,727"
Jimmy Neutron: Boy Genius,82 min,6,65,Animation,$80.57M,"99,614"
Eat Pray Love,133 min,5.8,50,Biography,$80.57M,"145,282"
The Texas Chainsaw Massacre,98 min,6.2,38,Crime,$80.36M,"62,505"
Zookeeper,102 min,5.2,30,Comedy,$80.28M,"203,619"
Alien vs. Predator,101 min,5.6,29,Action,$80.28M,"179,412"
What Happens in Vegas,99 min,6.1,36,Comedy,$80.27M,"79,957"
The Dukes of Hazzard,104 min,5.1,33,Comedy,$80.24M,"197,205"
Saw III,108 min,6.2,48,Crime,$80.21M,"238,530"
Disturbia,105 min,6.8,62,Crime,$80.20M,"89,311"
Nacho Libre,92 min,5.8,52,Comedy,$80.17M,"310,623"
Jumper,88 min,6.1,35,Action,$80.10M,"193,540"
The Mummy,110 min,5.4,34,Action,$80.08M,"90,674"
Goosebumps,103 min,6.3,60,Adventure,$80.07M,"346,276"
Jack Reacher,130 min,7,50,Action,$80.05M,"404,275"
Cloverfield,85 min,7,64,Action,$80.01M,"151,627"
Dear John,108 min,6.3,43,Drama,$80.00M,"137,317"
Men in Black: International,114 min,5.6,38,Action,$79.96M,"237,427"
Knowing,121 min,6.2,41,Action,$79.88M,"159,915"
War Horse,146 min,7.2,72,Action,$79.73M,"270,923"
Dark Shadows,113 min,6.2,55,Comedy,$79.57M,"43,541"
Hannah Montana: The Movie,102 min,4.6,47,Comedy,$79.37M,"172,633"
The Day the Earth Stood Still,104 min,5.5,40,Adventure,$79.25M,"581,445"
Limitless,105 min,7.4,59,Sci-Fi,$79.21M,"103,639"
The Purge: Election Year,108 min,6,55,Action,$78.75M,"147,700"
Pixels,105 min,5.6,27,Action,$78.62M,"311,646"
A.I. Artificial Intelligence,146 min,7.2,65,Drama,$78.12M,"144,686"
We Were Soldiers,138 min,7.1,65,Action,$78.05M,"146,520"
Tower Heist,104 min,6.2,59,Action,$78.03M,"133,670"
The Monuments Men,118 min,6.1,52,Comedy,$77.91M,"367,928"
Man on Fire,146 min,7.7,47,Action,$77.87M,"466,180"
The Terminal,128 min,7.4,55,Comedy,$77.81M,"448,376"
Gangs of New York,167 min,7.5,72,Crime,$77.59M,"234,151"
The Adventures of Tintin,107 min,7.3,68,Animation,$77.44M,"58,610"
March of the Penguins,80 min,7.5,79,Documentary,$77.34M,"41,825"
Night School,111 min,5.6,43,Comedy,$77.27M,"26,191"
Parental Guidance,105 min,6,36,Comedy,$77.23M,"106,145"
Where the Wild Things Are,101 min,6.7,71,Adventure,$77.22M,"261,517"
The A-Team,117 min,6.7,47,Action,$77.09M,"83,507"
U-571,116 min,6.6,62,Action,$77.05M,"66,171"
Dolittle,101 min,5.6,26,Adventure,$77.04M,"112,314"
Alice Through the Looking Glass,113 min,6.2,34,Adventure,$76.81M,"167,262"
Dinner for Schmucks,114 min,5.9,56,Comedy,$76.63M,"443,110"
Training Day,122 min,7.7,69,Action,$76.51M,"12,947"
Rugrats in Paris,78 min,6.1,62,Animation,$76.42M,"199,262"
Knight and Day,109 min,6.3,46,Action,$76.27M,"120,783"
Paddington,95 min,7.3,77,Adventure,$76.23M,"59,426"
Pete's Dragon,102 min,6.7,71,Action,$76.23M,"97,693"
The Ring Two,110 min,5.4,44,Horror,$75.98M,"352,184"
Constantine,121 min,7,50,Action,$75.85M,"50,716"
The Haunted Mansion,88 min,5.1,34,Comedy,$75.79M,"113,193"
The Family Man,125 min,6.8,42,Comedy,$75.78M,"32,075"
Barbershop,102 min,6.3,66,Comedy,$75.76M,"256,429"
The Intern,121 min,7.1,51,Comedy,$75.75M,"275,589"
Hellboy II: The Golden Army,120 min,7,78,Action,$75.66M,"306,571"
Contagion,106 min,6.8,70,Drama,$75.63M,"82,338"
"You, Me and Dupree",110 min,5.6,46,Comedy,$75.62M,"145,766"
We Bought a Zoo,124 min,7.1,58,Comedy,$75.61M,"214,791"
2 Guns,109 min,6.7,55,Action,$75.61M,"430,625"
Moneyball,133 min,7.6,87,Biography,$75.60M,"35,527"
The Rookie,127 min,6.9,72,Drama,$75.59M,"585,774"
Zombieland,88 min,7.6,73,Action,$75.59M,"235,315"
Old School,88 min,7,54,Comedy,$75.47M,"234,933"
The Hitman's Bodyguard,118 min,6.9,47,Action,$75.40M,"190,319"
The Girl on the Train,112 min,6.5,48,Crime,$75.37M,"88,714"
Garfield,80 min,5,27,Animation,$75.33M,"150,164"
Ray,152 min,7.7,73,Biography,$75.29M,"236,656"
Coraline,100 min,7.7,80,Animation,$75.07M,"132,601"
The Exorcism of Emily Rose,119 min,6.7,46,Drama,$75.03M,"127,626"
Eragon,104 min,5.1,38,Action,$74.54M,"58,309"
Ladder 49,115 min,6.5,47,Action,$74.49M,"149,699"
Four Brothers,109 min,6.8,49,Action,$74.28M,"984,358"
No Country for Old Men,122 min,8.2,92,Crime,$74.26M,"285,841"
Alien: Covenant,122 min,6.4,65,Horror,$74.16M,"86,233"
Jack and Jill,91 min,3.3,23,Comedy,$74.15M,"78,154"
Annabelle Comes Home,106 min,5.9,53,Horror,$74.10M,"774,103"
Sin City,124 min,8,74,Crime,$74.08M,"89,787"
Along Came a Spider,104 min,6.4,42,Drama,$73.92M,"29,542"
Captain Underpants: The First Epic Movie,89 min,6.2,69,Animation,$73.86M,"326,376"
Hugo,126 min,7.5,83,Adventure,$73.78M,"53,001"
Christmas with the Kranks,99 min,5.4,22,Comedy,$73.66M,"124,870"
Monster House,91 min,6.6,68,Animation,$73.34M,"302,426"
